"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test booking search with various filter combinations.

Args:
    search_filter: Search parameters to filter bookings
    min_expected_results: Minimum number of bookings expected in results
","1952","test_booking_search_by_filter[search_filter3-2]","tests.integration","2026-02-09","passed","2026-02-09","","test_booking_search_functionality","",""
"Test booking search with various filter combinations.

Args:
    search_filter: Search parameters to filter bookings
    min_expected_results: Minimum number of bookings expected in results
","1636","test_booking_search_by_filter[search_filter0-1]","tests.integration","2026-02-09","passed","2026-02-09","","test_booking_search_functionality","",""
"Test booking creation with different status code assertions.

Args:
    expected_status: The HTTP status code to validate against
    assertion_type: ""equal"" for successful creation, ""not_equal"" for error case
","2001","test_create_booking[201-not_equal]","tests.unit","2026-02-09","passed","2026-02-09","","test_create_booking","",""
"Create a booking, verify update without auth is rejected, then authenticate and update succeeds.","10296","test_update_requires_auth_then_succeeds","tests.integration","2026-02-09","passed","2026-02-09","","test_authenticate_endpoint","",""
"Invalid credentials should be handled gracefully; API may return a reason field.","1667","test_authenticate_invalid_credentials_handled","tests.integration","2026-02-09","passed","2026-02-09","","test_authenticate_endpoint","",""
"Test booking search with various filter combinations.

Args:
    search_filter: Search parameters to filter bookings
    min_expected_results: Minimum number of bookings expected in results
","1623","test_booking_search_by_filter[search_filter1-2]","tests.integration","2026-02-09","passed","2026-02-09","","test_booking_search_functionality","",""
"Test complete booking lifecycle: create, update specific field, verify persistence.

Args:
    field_to_update: The field to update during the lifecycle
    new_value: The new value for the field
","6756","test_booking_lifecycle_with_field_update[totalprice-200]","tests.integration","2026-02-09","passed","2026-02-09","","test_complete_booking_lifecycle","",""
"Test complete booking lifecycle: create, update specific field, verify persistence.

Args:
    field_to_update: The field to update during the lifecycle
    new_value: The new value for the field
","7231","test_booking_lifecycle_with_field_update[firstname-Python]","tests.integration","2026-02-09","passed","2026-02-09","","test_complete_booking_lifecycle","",""
"Test updating individual booking fields and verify persistence.","3485","test_booking_update_field_successful[firstname-UpdatedFirstName-static_assertions0]","tests.unit","2026-02-09","passed","2026-02-09","","test_partial_update_booking","",""
"Test booking creation with different status code assertions.

Args:
    expected_status: The HTTP status code to validate against
    assertion_type: ""equal"" for successful creation, ""not_equal"" for error case
","1817","test_create_booking[200-equal]","tests.unit","2026-02-09","passed","2026-02-09","","test_create_booking","",""
"Authenticate with valid credentials and verify a token is returned and cookie can be set.","3646","test_authenticate_success_sets_token_cookie","tests.integration","2026-02-09","passed","2026-02-09","","test_authenticate_endpoint","",""
"Test updating individual booking fields and verify persistence.","3854","test_booking_update_field_successful[additionalneeds-Breakfast, Wifi-static_assertions1]","tests.unit","2026-02-09","passed","2026-02-09","","test_partial_update_booking","",""
"Test complete booking lifecycle: create, update specific field, verify persistence.

Args:
    field_to_update: The field to update during the lifecycle
    new_value: The new value for the field
","6867","test_booking_lifecycle_with_field_update[additionalneeds-Lunch]","tests.integration","2026-02-09","passed","2026-02-09","","test_complete_booking_lifecycle","",""
"Test booking search with various filter combinations.

Args:
    search_filter: Search parameters to filter bookings
    min_expected_results: Minimum number of bookings expected in results
","1549","test_booking_search_by_filter[search_filter2-1]","tests.integration","2026-02-09","passed","2026-02-09","","test_booking_search_functionality","",""
"Test booking search with various filter combinations.

Args:
    search_filter: Search parameters to filter bookings
    min_expected_results: Minimum number of bookings expected in results
","2069","test_booking_search_by_filter[search_filter4-1]","tests.integration","2026-02-09","passed","2026-02-09","","test_booking_search_functionality","",""
